,Supplier Node,S Latitude,S Longitude,Cluster Node,C Latitude,C Longitude,Travel Distance,Travel Duration (hours),Travel Duration (min)
0,0.0,26.159654800000002,-98.276865,0.0,29.508894374132208,-98.4996922777378,881.51,7 hours 43 mins,463.0
1,0.0,26.159654800000002,-98.276865,1.0,29.79082550352515,-95.41019179432881,1196.247,10 hours 36 mins,635.9833333333333
2,0.0,26.159654800000002,-98.276865,2.0,32.831894691486745,-96.99418974431894,1007.868,8 hours 58 mins,537.6166666666667
3,0.0,26.159654800000002,-98.276865,3.0,31.77175939649847,-106.337967556246,17.464,16 mins,16.0
4,0.0,26.159654800000002,-98.276865,4.0,33.594407000000004,-101.870871,556.388,5 hours 26 mins,325.81666666666666
5,0.0,26.159654800000002,-98.276865,5.0,27.517706,-99.503801,970.744,9 hours 14 mins,553.8833333333333
6,0.0,26.159654800000002,-98.276865,6.0,26.192287175485774,-98.13502520451428,1270.434,11 hours 12 mins,672.35
7,0.0,26.159654800000002,-98.276865,7.0,32.332685,-95.271942,1187.532,10 hours 39 mins,638.65
8,0.0,26.159654800000002,-98.276865,8.0,27.779742027986497,-97.42065149668173,1118.658,9 hours 47 mins,586.9
9,0.0,26.159654800000002,-98.276865,9.0,30.516177455463207,-97.68930103107948,941.039,8 hours 40 mins,520.0166666666667
10,0.0,26.159654800000002,-98.276865,10.0,32.027118276455134,-102.08244084375302,494.226,4 hours 32 mins,272.06666666666666
11,0.0,26.159654800000002,-98.276865,11.0,32.396858061746585,-99.76444396654499,729.901,6 hours 31 mins,390.73333333333335
12,1.0,29.7717453,-95.38657909999999,0.0,29.508894374132208,-98.4996922777378,881.51,7 hours 43 mins,463.0
13,1.0,29.7717453,-95.38657909999999,1.0,29.79082550352515,-95.41019179432881,1196.247,10 hours 36 mins,635.9833333333333
14,1.0,29.7717453,-95.38657909999999,2.0,32.831894691486745,-96.99418974431894,1007.868,8 hours 58 mins,537.6166666666667
15,1.0,29.7717453,-95.38657909999999,3.0,31.77175939649847,-106.337967556246,17.464,16 mins,16.0
16,1.0,29.7717453,-95.38657909999999,4.0,33.594407000000004,-101.870871,556.388,5 hours 26 mins,325.81666666666666
17,1.0,29.7717453,-95.38657909999999,5.0,27.517706,-99.503801,970.744,9 hours 14 mins,553.8833333333333
18,1.0,29.7717453,-95.38657909999999,6.0,26.192287175485774,-98.13502520451428,1270.434,11 hours 12 mins,672.35
19,1.0,29.7717453,-95.38657909999999,7.0,32.332685,-95.271942,1187.532,10 hours 39 mins,638.65
20,1.0,29.7717453,-95.38657909999999,8.0,27.779742027986497,-97.42065149668173,1118.658,9 hours 47 mins,586.9
21,1.0,29.7717453,-95.38657909999999,9.0,30.516177455463207,-97.68930103107948,941.039,8 hours 40 mins,520.0166666666667
22,1.0,29.7717453,-95.38657909999999,10.0,32.027118276455134,-102.08244084375302,494.226,4 hours 32 mins,272.06666666666666
23,1.0,29.7717453,-95.38657909999999,11.0,32.396858061746585,-99.76444396654499,729.901,6 hours 31 mins,390.73333333333335
24,2.0,32.623905699999995,-97.3125429,0.0,29.508894374132208,-98.4996922777378,881.51,7 hours 43 mins,463.0
25,2.0,32.623905699999995,-97.3125429,1.0,29.79082550352515,-95.41019179432881,1196.247,10 hours 36 mins,635.9833333333333
26,2.0,32.623905699999995,-97.3125429,2.0,32.831894691486745,-96.99418974431894,1007.868,8 hours 58 mins,537.6166666666667
27,2.0,32.623905699999995,-97.3125429,3.0,31.77175939649847,-106.337967556246,17.464,16 mins,16.0
28,2.0,32.623905699999995,-97.3125429,4.0,33.594407000000004,-101.870871,556.388,5 hours 26 mins,325.81666666666666
29,2.0,32.623905699999995,-97.3125429,5.0,27.517706,-99.503801,970.744,9 hours 14 mins,553.8833333333333
