cluster_label,count,medoid latitude,medoid longitude,average distances,sum distances
0,36,29.508894374132208,-98.4996922777378,20.228093595915425,728.2113694529553
1,179,29.79082550352515,-95.41019179432881,40.24913751254932,7204.595614746328
2,85,32.831894691486745,-96.99418974431894,36.3111884575954,3086.451018895608
3,12,31.77175939649847,-106.337967556246,10.868651482527303,130.42381779032763
4,11,33.594407000000004,-101.870871,82.00403949448945,902.0444344393837
5,9,27.517706,-99.503801,21.4121038067191,192.70893426047186
6,13,26.192287175485774,-98.13502520451428,19.73287245602358,256.5273419283065
7,15,32.332685,-95.271942,66.9149615789849,1003.7244236847736
8,15,27.779742027986497,-97.42065149668173,40.59843910569004,608.9765865853507
9,32,30.516177455463207,-97.68930103107948,43.5811098095831,1394.5955139066593
10,4,32.027118276455134,-102.08244084375302,24.40723259197646,97.62893036790584
11,6,32.396858061746585,-99.76444396654499,53.963843375073026,323.78306025043815
