,Location,Venue Latitude,Venue Longitude,geometry
0,Alice,27.88838847343273,-97.31875333364745,"27.88838847343273, -97.31875333364745"
1,Alice,27.67988805769562,-97.37336374713374,"27.67988805769562, -97.37336374713374"
2,Alice,27.899642070802592,-97.14228502294145,"27.899642070802592, -97.14228502294145"
3,Alice,27.69569420890058,-97.3476865107023,"27.69569420890058, -97.3476865107023"
4,Alice,27.855771778884456,-97.63209117460181,"27.855771778884456, -97.63209117460181"
5,Alice,27.511185657507532,-97.8558457536828,"27.511185657507532, -97.8558457536828"
6,Alice,27.70546236793367,-97.39113345058067,"27.70546236793367, -97.39113345058067"
7,Alice,27.78769,-97.655646,"27.78769, -97.655646"
8,Alice,27.7797420279865,-97.42065149668174,"27.7797420279865, -97.42065149668174"
9,Alice,27.731028857729115,-97.39307900643222,"27.731028857729115, -97.39307900643222"
10,Alice,27.743928812087837,-97.4411289913783,"27.743928812087837, -97.4411289913783"
11,Alvin,29.731278040526366,-95.47772863775995,"29.731278040526366, -95.47772863775995"
12,Alvin,29.555289507075617,-95.39547338003524,"29.555289507075617, -95.39547338003524"
13,Alvin,29.591024947810826,-95.63485055823412,"29.591024947810826, -95.63485055823412"
14,Alvin,29.77394159289818,-95.8174153391383,"29.77394159289818, -95.8174153391383"
15,Alvin,29.788239,-95.687842,"29.788239, -95.687842"
16,Alvin,29.99712326890135,-95.16242289392474,"29.99712326890135, -95.16242289392474"
17,Alvin,30.005390807500685,-95.29851220871807,"30.005390807500685, -95.29851220871807"
18,Alvin,29.930103325055644,-95.54583086090251,"29.930103325055644, -95.54583086090251"
19,Alvin,29.531561483150885,-95.51115805882452,"29.531561483150885, -95.51115805882452"
20,Alvin,29.737083108889678,-95.57799453137706,"29.737083108889678, -95.57799453137706"
21,Alvin,30.04014424128924,-95.4879989520144,"30.04014424128924, -95.4879989520144"
22,Alvin,29.98202812988158,-95.42606688241675,"29.98202812988158, -95.42606688241675"
23,Alvin,30.010309108051498,-95.58796115766035,"30.010309108051498, -95.58796115766035"
24,Alvin,29.7352,-95.64087,"29.7352, -95.64087"
25,Alvin,29.91054192425081,-95.68562628602935,"29.91054192425081, -95.68562628602935"
26,Alvin,29.87123269889768,-95.33262370939632,"29.87123269889768, -95.33262370939632"
27,Alvin,30.000078555590967,-95.47756460703306,"30.000078555590967, -95.47756460703306"
28,Alvin,29.66460743234381,-95.46333092042258,"29.66460743234381, -95.46333092042258"
29,Alvin,29.912521457780535,-95.4800044885856,"29.912521457780535, -95.4800044885856"
30,Alvin,30.223586,-95.553928,"30.223586, -95.553928"
31,Alvin,29.938043919266164,-95.39806209703693,"29.938043919266164, -95.39806209703693"
32,Alvin,29.502691,-95.043702,"29.502691, -95.043702"
33,Alvin,29.561373,-95.276957,"29.561373, -95.276957"
34,Alvin,29.878773,-95.635002,"29.878773, -95.635002"
35,Alvin,30.114904,-95.384496,"30.114904, -95.384496"
36,Alvin,29.800347,-94.980753,"29.800347, -94.980753"
37,Alvin,29.97343247491799,-95.68850265655422,"29.97343247491799, -95.68850265655422"
38,Alvin,29.639187082994365,-95.1579059423548,"29.639187082994365, -95.1579059423548"
39,Alvin,29.686264482246465,-95.42131244032095,"29.686264482246465, -95.42131244032095"
40,Alvin,29.66340951849506,-95.10681019888622,"29.66340951849506, -95.10681019888622"
41,Alvin,29.615623450563856,-95.49581082025523,"29.615623450563856, -95.49581082025523"
42,Alvin,29.59290474602485,-95.19258605087244,"29.59290474602485, -95.19258605087244"
43,Alvin,29.555073499715014,-95.80911114751491,"29.555073499715014, -95.80911114751491"
44,Alvin,29.772465759568497,-95.21446108818054,"29.772465759568497, -95.21446108818054"
45,Alvin,29.69212878440444,-95.64425098589193,"29.69212878440444, -95.64425098589193"
46,Alvin,30.071059,-95.241263,"30.071059, -95.241263"
47,Alvin,29.686342416666665,-95.364271,"29.686342416666665, -95.364271"
48,Alvin,29.744152,-94.949927,"29.744152, -94.949927"
49,Alvin,29.945290592653887,-95.46583476094406,"29.945290592653887, -95.46583476094406"
50,Alvin,29.440816,-95.093551,"29.440816, -95.093551"
51,Alvin,29.544898988986517,-95.74851661286979,"29.544898988986517, -95.74851661286979"
52,Alvin,29.614645,-95.384155,"29.614645, -95.384155"
53,Alvin,29.574951000000002,-95.408803,"29.574951000000002, -95.408803"
54,Alvin,29.6008,-95.287743,"29.6008, -95.287743"
55,Alvin,29.402130958227882,-95.01972348751328,"29.402130958227882, -95.01972348751328"
56,Alvin,29.4015866005751,-95.24100824873787,"29.4015866005751, -95.24100824873787"
57,Alvin,29.5073820808835,-95.1909752690679,"29.5073820808835, -95.1909752690679"
58,Alvin,29.56144707508333,-95.27699734762398,"29.56144707508333, -95.27699734762398"
59,Alvin,29.504481424361614,-95.10753872547751,"29.504481424361614, -95.10753872547751"
60,Amarillo,35.13138876858381,-101.90227577022252,"35.13138876858381, -101.90227577022252"
61,Amarillo,35.149896,-101.919781,"35.149896, -101.919781"
62,Amarillo,35.18989425523079,-101.87312703490142,"35.18989425523079, -101.87312703490142"
63,Amarillo,35.1916817567948,-101.75891992110938,"35.1916817567948, -101.75891992110938"
64,Amarillo,35.132561,-101.901919,"35.132561, -101.901919"
65,Angleton,30.088141831858884,-95.6315399427388,"30.088141831858884, -95.6315399427388"
66,Angleton,29.830991,-95.755567,"29.830991, -95.755567"
67,Angleton,29.184024370030336,-95.43361975357749,"29.184024370030336, -95.43361975357749"
68,Angleton,29.848018158196922,-95.64536653583644,"29.848018158196922, -95.64536653583644"
69,Angleton,29.267863000000002,-94.826613,"29.267863000000002, -94.826613"
70,Angleton,29.04833972454071,-95.45929423,"29.04833972454071, -95.45929423"
